Symbol,Name,Wtd Alpha,Last,Change,%Chg,52W High,52W Low,52W %Chg,Time
JYNT,The Joint Corp,119,19.24,0.02,0.10%,21.8,6.51,150.52%,11/27/2019
SGEN,Seattle Genetics Inc,118.8,121.02,0.46,0.38%,122.36,51.5,106.73%,11/27/2019
CNNE,Cannae Holdings Inc,117.9,38.42,0.66,1.75%,38.63,15.87,126.13%,11/27/2019
ASPN,Aspen Aerogels Inc,117.8,6.93,-0.07,-1.00%,7.54,1.6,111.93%,11/27/2019
SILV,Silvercrest Metals Inc,115.6,5.83,-0.03,-0.51%,6.69,2.25,140.91%,11/27/2019
AVLR,Avalara Inc,115.4,79.25,-0.7,-0.88%,94.31,28.89,157.98%,11/27/2019
INS,Intelligent Systems Corp,115.4,43.81,-0.34,-0.77%,56.24,11.22,222.37%,11/27/2019
PCTI,Pc-Tel Inc,114.6,8.73,0,0.00%,9.4,3.88,113.97%,11/27/2019
XBIT,Xbiotech Inc,114.5,11.81,0.27,2.38%,15.32,3.66,180.64%,11/27/2019
VCYT,Veracyte Inc,112.8,29.08,0.03,0.09%,31.18,10.73,139.69%,11/27/2019
VNCE,Vince Holding Corp,112.7,22.47,-0.24,-1.06%,23.87,8.63,63.18%,11/27/2019
ATLC,Atlanticus Hld Cp,112.3,7.91,0.07,0.89%,10.08,3.03,135.42%,11/27/2019
VNRX,Volitionrx Ltd,111.8,5.34,0.06,1.14%,6.84,1.67,127.23%,11/27/2019
CGEN,Compugen Ltd,111.3,6.06,0.26,4.48%,6.22,2,81.44%,11/27/2019
BLDR,Builders Firstsource,111.2,25.9,0.18,0.70%,26.06,10.15,98.92%,11/27/2019
CPRX,Catalyst Pharm Inc,110.9,4.68,0.31,7.09%,7.67,1.85,60.82%,11/27/2019
BHVN,Biohaven Pharmaceutical Holding Company Ltd,109.8,57.65,0.65,1.14%,67.86,29.17,91.21%,11/27/2019
EDU,New Oriental Education & Technology Group,109.5,124.26,-0.14,-0.11%,124.78,50.3,129.39%,11/27/2019
PERI,Perion Network Ltd,109.4,5.45,0.33,6.45%,7.06,2.47,101.85%,11/27/2019
TLRA,Telaria Inc,109.4,8.39,-0.15,-1.76%,10.66,2.56,179.67%,11/27/2019
SHOP,Shopify Inc,109,341,4.81,1.43%,409.61,117.64,136.04%,11/27/2019
PAYC,Paycom Software Inc,108.9,279.66,5.56,2.03%,279.95,111.48,130.19%,11/27/2019
PESI,Perma-Fix Envir,108.9,7.03,0.13,1.88%,7.45,1.9,132.01%,11/27/2019
AQUA,Evoqua Water Technologies Corp,107.5,19.1,0.07,0.37%,19.35,7.92,135.22%,11/27/2019
LAD,Lithia Motors,105.5,163.68,1.37,0.84%,165.26,67.9,95.70%,11/27/2019
ASFI,Asta Funding Inc,105.3,10.36,-0.07,-0.62%,10.44,3.61,143.02%,11/27/2019
CRSP,Crispr Therapeutics Ag,104.6,68.11,-0.65,-0.95%,74,22.22,87.53%,11/27/2019
ROAD,Construction Partners Inc Cl A,104.1,19.5,0.19,0.98%,19.52,7.7,93.64%,11/27/2019
EHTH,Ehealth Inc,103.6,90.12,0.14,0.16%,112.22,33.66,165.14%,11/27/2019
OESX,Orion Energy Syst,102.5,2.92,-0.05,-1.68%,3.84,0.53,284.21%,11/27/2019
CUTR,Cutera Inc,102.1,38.69,-0.12,-0.31%,39.15,12.32,86.46%,11/27/2019
DRNA,Dicerna Pharmaceutic,102,24.03,0.47,1.97%,25,9.31,66.33%,11/27/2019
SAH,Sonic Automotive,100.4,33.51,0.41,1.24%,35.41,12.78,105.71%,11/27/2019
APPL,Apple Inc,100.4,33.51,0.41,1.24%,35.41,12.78,105.71%,11/27/2019
